id,created_at,favorite_count,retweet_count,text
1465257050234048512,2021-11-29 9:51:18,298,85,"The EU &amp; its Member States will work hard to achieve the global vaccination target of 70% in 2022.
 
We will support capacity building for sequencing, testing, treatments and vaccination.
 
We aim to share at least 700 million doses by mid-2022 with low &amp; middle-income countries. https://t.co/mDgnA3fbxS"
1465255576628342787,2021-11-29 9:45:27,480,154,"Let's be better prepared against future pandemics.

I welcome the start of negotiations for a global agreement on prevention, preparedness and response.

I also support a new financial intermediary fund for global health security.

#WHASpecial https://t.co/eUUzyU0MP9"
1465226244295962629,2021-11-29 7:48:53,666,239,"We take the #Omicron variant very seriously. While scientists analyse it in detail, it is important to remain vigilant and to protect ourselves.

Get vaccinated, if not done yet, and take your booster as soon as possible. https://t.co/AUcLRB5Ho1"
1465218734180732928,2021-11-29 7:19:03,485,145,"Let's take the EU-@NATO cooperation to the next level.

We and @jensstoltenberg are working on a new Joint Declaration.

Our goal: to renew and update our political commitment to a strong EU-NATO alliance.

The EU and NATO stand firm. And we stand united. https://t.co/RsDqtxjBGY"
1464993276730163204,2021-11-28 16:23:10,373,89,"Delighted to visit @STRATCOMCOE 
 
The experts working here make our neighbourhood and cyberspace safer.
 
They will help us reinforce our response to hybrid attacks.
 
These men and women embody the long-standing cooperation between the EU and @NATO. https://t.co/h00UakzlmE"
1464980104296153091,2021-11-28 15:30:49,416,119,"To act in a timely, effective manner, proper information and analysis capacity is essential.

This is why the EU needs its own Joint Situational Awareness Centre.

Such a centre would help the EU bundle its  know-how on countering hybrid attacks. https://t.co/UHaua62J50"
1464979190713929736,2021-11-28 15:27:11,2005,317,"🇱🇻 When one of our Member States is attacked, the EU stands united.

We are with Latvia in these challenging times, providing human and financial support. https://t.co/TeR3paEa4f"
1464912484507299842,2021-11-28 11:02:07,351,73,"We have long been working together.

We are testing and coordinating our crisis responses during regular exercises.
 
And we are stepping up our cooperation on resilience, situational awareness and on fighting disinformation. https://t.co/dJtwalLGC5"
1464908957533810688,2021-11-28 10:48:06,928,241,"Lukashenko has failed in his bid to undermine EU unity and solidarity. 

But we should learn the lessons. Our opponents will stop at nothing to destabilise us.

To respond to such events, it is important that the EU and @NATO work hand in hand. https://t.co/ZhND0TcR6S"
1464908313024503813,2021-11-28 10:45:33,871,165,"Lithuania has been responding to this attack humanely and firmly. 

The EU stands by your side and supports you to manage your border.
 
🇱🇹 benefits from €37 million in emergency assistance.
 
We are tripling border management funds for 🇱🇹🇱🇻🇵🇱 to €200 million in 2021 and 2022. https://t.co/RjDRCxGDW1"
1464892543372509184,2021-11-28 9:42:53,909,212,"Good to be in Vilnius 🇱🇹 today with @NATO SG @jensstoltenberg.
 
We are here to express our full solidarity with Lithuania in the face of the hybrid attack led by the Belarus regime and highlight our good EU @NATO cooperation. https://t.co/IhbTFCPobq"
1464646688426147847,2021-11-27 17:25:56,768,262,"After we triggered emergency brake to tackle #Omicron, working on all tracks with Commissioners in charge, to:

Speed up vaccination, boosters

Scale up testing, contact-tracing of people coming from concerned region

Boost sequencing, wastewater analysis, to locate the variant https://t.co/1xnaIQOgf4"
1464324445431078922,2021-11-26 20:05:28,896,218,"Very fruitful discussions this evening with @sbancel @AlbertBourla and Uğur Şahin of @moderna_tx and @BioNTech_Group @Pfizer

They explained their efforts to quickly and thoroughly understand the #Omicron variant and adjust our strategies accordingly.

Time is of the essence. https://t.co/PvOduQi6QV"
1464238709612716032,2021-11-26 14:24:47,554,158,"The European Union's contracts with manufacturers say that the vaccine must be adapted immediately to new variants as they emerge.

Europe has taken precautions. https://t.co/yVlLx7GcmI"
1464236651077640197,2021-11-26 14:16:36,1254,581,"The news about the new COVID variant is very concerning.

I have talked to scientists and vaccine manufacturers today. They share the concern.

Please get vaccinated as soon as possible, if not done yet.

And follow the known rules to protect yourself. https://t.co/eSKPzr8J5Q"
1464200280451473414,2021-11-26 11:52:05,350,109,"Asia matters to Europe.
 
As continents of innovation, we both look towards the future with confidence.
 
Together we will ensure the health of our citizens, our economies and of our planet. 
 
#ASEM https://t.co/oevGtRiyml"
1464132568333398018,2021-11-26 7:23:01,4138,1556,"The @EU_Commission will propose, in close coordination with Member States, to activate the emergency brake to stop air travel from the southern African region due to the variant of concern B.1.1.529."
1463915000314187778,2021-11-25 16:58:28,173,31,"Felicitări @NicolaeCiuca pentru investirea în funcția de prim ministru! 

Vom lucra împreună cu noul guvern român pentru a găsi soluții împotriva pandemiei și pentru a implementa planul național de redresare și reziliență."
1463851318695628804,2021-11-25 12:45:26,229,52,"Impfen rettet Leben. 

Die neue COVID-Welle können wir mit mehr Impfungen niederdrücken. Eine Auffrischung nach 6 Monaten sorgt dafür, dass wir nochmal deutlich besser geschützt sind.

Europa hat genug Impfstoff bestellt. Ende der Woche sind bereits 1 Mrd Dosen in 🇪🇺 ausgeliefert https://t.co/AaryRfW0m3"
